Sample,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,RawIntDen
dish2-roi-01,0.174,1948.421,446.077,1623,1139,2998,45.674,14.209,339.73,272779
dish2-roi-01,0.242,3328.99,995.132,2893,1207,4989,29.878,14.373,804.335,645824
dish2-roi-01,0.192,2177.799,871.904,1362,992,4034,8.021,14.358,417.697,335381
dish2-roi-01,0.141,1384.823,306.927,992,932,2102,54.539,14.41,194.893,156485
dish2-roi-01,0.081,1157.462,226.651,905,757,1586,0.474,14.339,93.701,75235
dish2-roi-01,0.117,1482.479,382.851,1180,828,2302,43.747,14.486,173.556,139353
dish2-roi-01,0.097,1322.59,275.716,1150,921,1916,55.161,14.475,128.482,103162
dish2-roi-01,0.151,1881.645,609.263,1935,1019,3214,5.911,14.636,283.561,227679
dish2-roi-01,0.105,2151.595,690.36,982,982,3517,45.664,14.591,225.093,180734
dish2-roi-01,0.111,2008.888,663.321,1287,1033,3389,6.877,14.665,222.673,178791
dish2-roi-01,0.017,1284.429,59.185,1200,1200,1389,16.375,14.84,22.396,17982
dish2-roi-01,0.182,1779.322,654.691,1170,882,3191,45.248,15.151,323.542,259781
dish2-roi-01,0.022,1047.722,81.845,952,952,1199,44.674,15.053,23.488,18859
dish2-roi-01,0.457,4065,1959.093,1804,1266,8777,28.861,15.462,1858.016,1491855
dish2-roi-01,0.112,2971.378,1023.192,1295,1295,4811,29.471,15.455,333.061,267424
dish2-roi-01,0.329,3263.11,1679.126,1400,1241,7485,16.016,15.809,1072.898,861461
dish2-roi-01,0.029,1408.826,149.317,1188,1188,1691,13.841,15.75,40.356,32403
dish2-roi-01,0.193,2587.329,889.586,1432,1238,4335,15.238,15.933,499.466,401036
dish2-roi-01,0.285,3231.004,1518.317,1158,1158,6887,29.429,16.044,921.501,739900
dish2-roi-01,0.027,953.727,106.784,795,795,1147,48.302,15.926,26.132,20982
dish2-roi-01,0.014,913.909,30.804,900,869,965,43.364,16.248,12.52,10053
dish2-roi-01,0.102,1350.037,376.726,1013,827,2138,42.743,16.398,137.874,110703
dish2-roi-01,0.137,2053.173,636.087,1176,1176,3431,13.598,16.522,281.281,225849
dish2-roi-01,0.229,2089.054,850.042,1317,928,4122,48.227,16.594,478.73,384386
dish2-roi-01,0.173,2966.094,1262.595,2798,1199,5984,15.197,16.597,513.479,412287
dish2-roi-01,0.059,1140.277,192.361,1333,820,1546,44.179,16.645,66.747,53593
dish2-roi-01,0.25,3421.493,1794.896,1596,1117,7740,18.612,16.831,856.514,687720
dish2-roi-01,0.1,1739.362,439.202,1601,1117,2670,26.838,16.77,173.302,139149
